model,category,accuracy,macro_f1,macro_precision,macro_recall,training_seconds,inference_ms,params,params_m,best_epoch,best_val_loss,best_val_acc,best_val_f1,latency_ms_bs1,throughput_sps_bs1,latency_ms_bs32,throughput_sps_bs32
GRU,temporal,0.85078125,0.8514565749565035,0.8566308833074369,0.8507812499999972,579.4107655584812,0.0347761175362393,513292.0,0.513292,17.0,0.8284020241835,0.8580357142857142,0.8576310574282862,1.441728863865137,693.6116943092169,0.0459081813460215,21782.60978065645
CNN_LSTM,temporal,0.89609375,0.8968722241450976,0.9002721457768589,0.8960937499999969,1389.9812697656453,0.5523892381461337,11500492.0,11.500492,11.0,0.3148749114039154,0.9217261904761904,0.921310964016668,2.040847633033991,489.9924834238445,0.5587693804409355,1789.6470977183487
LeNet_LSTM,temporal,0.8989583333333333,0.8991619799385813,0.9028847951934916,0.8989583333333303,627.239008853212,0.182419890188612,331708.0,0.331708,15.0,0.4381371967949062,0.9050595238095238,0.9048752344907972,0.9359607100486756,1068.4209168865582,0.1711959613021463,5841.259293699604
TCN,temporal,0.8114583333333333,0.8119810273086384,0.8186732014975079,0.8114583333333307,871.1482797432691,0.0951930007431656,2083724.0,2.083724,14.0,1.30245332209046,0.8580357142857142,0.8570105843540029,1.0475019179284573,954.652190019473,0.0356184941483661,28075.30256148885
Transformer,attention,0.7049479166666667,0.7031261184243691,0.7060140508120228,0.7049479166666645,866.8957238327712,0.0358962570317089,259052.0,0.259052,20.0,1.9353859404069007,0.7440476190476191,0.7424602850684964,0.7823470048606396,1278.205187451483,0.0221271166810765,45193.41649493871
LeNet,cnn,0.9005208333333333,0.8999865703690451,0.9020450413876429,0.9005208333333306,679.2569178976119,0.0136871880386024,73726.0,0.073726,21.0,0.5629642140731794,0.8651785714285715,0.8626241638594413,0.4032373800873756,2479.92881955367,0.0102140795206651,97904.0742708926
ResNet18,cnn,0.940625,0.9403582553514754,0.9407997446369756,0.940624999999997,1039.1906819865108,0.2174642053432762,11424140.0,11.42414,21.0,0.5096208824863917,0.9229166666666668,0.9212905783086192,2.1180055662989616,472.1422908002157,0.1812572189373895,5517.021643951313
MobileNet_V2,cnn,0.9158854166666668,0.9134616024865628,0.9267811035010384,0.9158854166666636,1602.8170906174928,0.3160910273436457,2261420.0,2.26142,7.0,0.2455926655055615,0.9125,0.9122213115601032,3.208112083375454,311.7098075164001,0.1072558737359941,9323.498706107775
EfficientNet_B0,cnn,0.9307291666666668,0.93060919742305,0.9319220037552122,0.9307291666666636,1195.7022791262716,0.264455922297202,4045096.0,4.045096,20.0,0.4111743951492239,0.9261904761904762,0.925946525329478,5.109336916357279,195.72011326920943,0.1646572689060121,6073.221101285293
LSTM,temporal,0.8408854166666667,0.8408440474398264,0.8430597127310254,0.840885416666664,583.0694019570947,0.0199337722733616,595724.0,0.595724,25.0,0.90497432245805,0.8494047619047619,0.8453734242702815,0.9200947917997836,1086.8445391848322,0.0232275668531656,43052.292404174594
GRU,temporal,0.8421875,0.8425126042468909,0.8450794820162341,0.8421874999999974,588.0545013062656,0.0190761493286117,513292.0,0.513292,16.0,0.795031195586004,0.8627976190476191,0.8614926258014998,0.4509599693119526,2217.4917244334115,0.0118273077532649,84550.09549607366
