model,display_name,seed,selected_epoch,train_loss_at_selected,train_acc_at_selected,train_f1_at_selected,val_loss_at_selected,val_acc_at_selected,val_f1_at_selected,test_accuracy,test_macro_f1,test_macro_precision,test_macro_recall,params_m,train_time_sec,inference_ms
TCN,TCN baseline,44,22,0.0035261387697287,0.9988690476190476,0.999940476182383,1.4596629447536469,0.8681547619047619,0.8703927376301578,0.8393229166666667,0.839535540743498,0.8439120036096868,0.8393229166666639,2.083724,884.0166103895754,0.1518548873718828
Transformer,Transformer baseline,44,21,0.0078545114610876,0.9977976190476192,0.9987489655844723,1.801233629425871,0.76875,0.7668193808224756,0.7127604166666667,0.7065450507457571,0.7128839438766819,0.7127604166666645,0.259052,869.5089558921754,0.0566821254324168
LeNet,LeNet-style CNN,45,15,0.0222644501285893,0.9966666666666668,0.9980355488230952,0.6090842348758521,0.8589285714285714,0.8602281219642286,0.8341145833333333,0.8329702632864584,0.8377148673816319,0.8341145833333306,0.073726,680.0976350661367,0.0134513480588793
ResNet18,ResNet18,45,23,0.0004077278645265,0.9999404761904762,0.9999999999994992,0.5363628269456594,0.9208333333333332,0.9213056985942776,0.9072916666666668,0.9078148242696642,0.9152719235932558,0.9072916666666636,11.42414,1044.385531200096,0.2062937885057181
MobileNet_V2,MobileNet_V2,45,15,0.0123770535985628,0.9960119047619048,0.9998809523652672,0.3878491107445698,0.924702380952381,0.9247667941057376,0.8966145833333333,0.896647431245003,0.904636920160315,0.8966145833333306,2.26142,1533.8417300973088,0.3621320065576583
EfficientNet_B0,EfficientNet_B0,45,19,0.0086241453105495,0.9976190476190476,0.9997619045943076,0.4704362237213155,0.9261904761904762,0.9265584554669702,0.9026041666666668,0.9021658319896004,0.90805503705444,0.9026041666666638,4.045096,1197.4635228440166,0.230511647532694
LSTM,LSTM baseline,45,15,0.0097773726284503,0.998452380952381,0.999345173985124,0.999808614737066,0.8005952380952381,0.8018722319858723,0.84375,0.842613906673905,0.8484622151321227,0.8437499999999973,0.595724,588.0041996054351,0.0398057105485349
GRU,GRU baseline,45,10,0.0084666652055013,0.9990476190476192,0.9998214285481508,0.9171546765860902,0.8151785714285714,0.8174617392616744,0.8653645833333333,0.8652105091751744,0.8701085144322181,0.8653645833333307,0.513292,581.0258271750063,0.0191335828276351
CNN_LSTM,CNN-LSTM baseline,45,9,0.064843180413757,0.9817857142857144,0.9916649900112344,0.5495032225200529,0.8633928571428572,0.8644791262584376,0.8888020833333333,0.8887537423499,0.8986331355576552,0.8888020833333306,11.500492,1384.8194072265178,0.5632117565255612
LeNet_LSTM,LeNet-LSTM baseline,45,6,0.1750858517597383,0.944404761904762,0.9693903564134716,0.3733565865882805,0.8898809523809523,0.8913928545620201,0.8971354166666666,0.8978304265657503,0.90358383766979,0.8971354166666637,0.331708,624.1075811311603,0.1663706454564817
TCN,TCN baseline,45,15,0.007348860367423,0.998095238095238,0.9998809523728592,1.5219426178434723,0.8080357142857143,0.8097044820075879,0.8458333333333333,0.8461094566188597,0.8535046778899655,0.8458333333333307,2.083724,862.6663425154984,0.0959094031713903
Transformer,Transformer baseline,45,22,0.0087121333252815,0.9977976190476192,0.9995236390372096,2.414475778894332,0.6976190476190476,0.6994843663787176,0.7471354166666667,0.7462090818442303,0.7519755701470121,0.7471354166666643,0.259052,869.8956233654171,0.0391744950320571
LeNet,LeNet-style CNN,46,25,0.0247377433095659,0.9967261904761904,0.9972023150899658,0.4289995635021894,0.8889880952380952,0.8877854913165101,0.8489583333333334,0.8474749777650015,0.8502064047183375,0.8489583333333307,0.073726,674.4858340360224,0.013706344179809
ResNet18,ResNet18,46,14,0.0093256712953249,0.997202380952381,0.9995833965998272,0.3162257003755541,0.9345238095238096,0.9334122369626956,0.9114583333333334,0.9118958362224336,0.9139518301888936,0.9114583333333304,11.42414,1011.5376236848532,0.2977546770125627
MobileNet_V2,MobileNet_V2,46,21,0.0035100628719443,0.9989285714285714,0.9999999999994992,0.4242874598493928,0.931845238095238,0.9301353384782862,0.9122395833333332,0.911924484535588,0.9122457452371856,0.9122395833333302,2.26142,1534.4632567893714,0.377186801051721
EfficientNet_B0,EfficientNet_B0,46,14,0.0206698156751337,0.9936309523809524,0.9980949478299956,0.2567269209745859,0.9416666666666668,0.94158433934412,0.91328125,0.9130199821428489,0.9159223120878428,0.9132812499999972,4.045096,1218.624206872657,0.2514218998840078
LSTM,LSTM baseline,46,25,0.0039964184945537,0.9995833333333334,0.9997023808683644,0.7214070241745156,0.8669642857142857,0.8671538139911629,0.8268229166666666,0.8270206429372182,0.8300102312760577,0.826822916666664,0.595724,590.4646087344736,0.0191089638974517
GRU,GRU baseline,46,18,0.0023024092756566,0.9997619047619049,0.9999999999994992,0.709970230813044,0.8794642857142857,0.8798676636490496,0.8348958333333333,0.8341190055565487,0.8371051380765994,0.8348958333333307,0.513292,588.0095066912472,0.0181832030648365
CNN_LSTM,CNN-LSTM baseline,46,12,0.0307151873196874,0.9928571428571428,0.9977374504530632,0.2813835883869268,0.9339285714285714,0.9327135940736472,0.88046875,0.8790728832203859,0.8815861118042516,0.8804687499999972,11.500492,1403.7907375041395,0.5586997198406607
LeNet_LSTM,LeNet-LSTM baseline,46,12,0.0659545204981085,0.9817261904761904,0.9880918086149096,0.2788953499214369,0.918154761904762,0.916535862930005,0.8989583333333333,0.8988833256542407,0.90132794089811,0.8989583333333305,0.331708,624.9209140259773,0.1693934493232518
TCN,TCN baseline,46,24,0.0036591867889676,0.9992261904761904,0.999940476182383,1.2106283240050997,0.8529761904761904,0.8518096929456274,0.8403645833333333,0.8401117605311281,0.8432978938526907,0.8403645833333306,2.083724,887.1973651666194,0.1374326471704989
Transformer,Transformer baseline,46,17,0.0262190912309147,0.9913690476190476,0.997854816756452,1.3999559642418673,0.7758928571428572,0.7734415262088362,0.69453125,0.6888603184315433,0.6928466919670099,0.6945312499999977,0.259052,877.1985139735043,0.0462368829175829
LeNet,LeNet-style CNN,47,24,0.0071226496852579,0.9994642857142856,0.9994644339622752,0.777724375990649,0.844047619047619,0.8442233353117246,0.8565104166666667,0.8563190119589769,0.8573611850642916,0.8565104166666638,0.073726,686.7203603684902,0.013772101374343
